Site ID,Site Name,State,Country,Latitude,Longitude,Elevation (m),Start Date,Nearby Snotel
p454,COULEEDAM_,WA,United States,47.953816,-118.992578,479,10/02/2011,0
p455,BANNACKPAS,ID,United States,44.485563,-112.728534,2594.5,10/20/2010,1
p457,HLF_WAPITI,MT,United States,45.041222,-111.272619,2262.5,10/02/2011,1
p460,HLFBBARRCH,MT,United States,45.139986,-111.028594,2197.8,10/01/2005,0
p461,HLFSTORYRN,MT,United States,45.35425,-110.758683,1544.1,10/02/2011,1
p468,MAZOURKAPK,CA,United States,36.975678,-118.118348,2854,10/02/2011,0
p517,MT_GLEASON,CA,United States,34.37637,-118.17757,1959.2,10/02/2011,0
p553,GRAPEVINE_,CA,United States,34.835094,-118.878967,1335.8,10/02/2012,0
p587,CHILEOFLAT,CA,United States,34.332233,-118.031337,1600.8,02/02/2013,0
p631,LAUREL_CRK,CA,United States,37.605321,-118.915924,2660.4,10/02/2011,0
p637,PUMICEVALL,CA,United States,37.914106,-119.083698,2031.7,10/10/2011,1
p640,MONO_MILLS,CA,United States,37.891734,-118.960392,2201.5,10/02/2012,0
p641,SAGEHENMDW,CA,United States,37.878192,-118.851918,2527,09/02/2008,0
p645,OWENSGORGE,CA,United States,37.541274,-118.593456,2008,09/02/2008,0
p646,FOSSILTILT,CA,United States,37.67703,-118.819972,2102.6,11/09/2006,0
p648,CRATERMARK,CA,United States,37.800011,-119.019197,2573,10/02/2011,0
p649,GRANITEMTN,CA,United States,37.903452,-118.736215,2154.6,10/02/2011,0
p653,BLINDSPRIN,CA,United States,37.737495,-118.471645,1826.9,10/02/2011,0
p654,CONWAYROAD,CA,United States,38.05793,-119.150174,2054.1,10/02/2011,1
p670,LVMANZLAKE,CA,United States,40.539889,-121.577178,1735.2,09/16/2007,0
p676,HLFHNRYSLK,ID,United States,44.654217,-111.33795,2189.8,09/02/2006,1
p677,WOODLANDFM,ID,United States,42.878919,-113.868302,1284.8,10/02/2011,0
p678,ATOMICCITY,ID,United States,43.448964,-112.80455,1535.3,10/02/2011,0
p679,LITTLELOST,ID,United States,44.039822,-113.306481,1936.2,10/28/2009,1
p681,MEDICINELG,ID,United States,44.399776,-112.636473,1976.1,10/20/2010,0
p682,SALTCREEK_,WY,United States,42.503302,-110.907523,2324.2,11/26/2010,1
p683,CHESTERFLD,ID,United States,42.826692,-111.734524,2066.4,09/06/2006,0
p684,PARKINSONF,ID,United States,43.919149,-111.450486,1693.9,09/09/2005,0
p685,SAND_DUNES,ID,United States,44.067942,-111.83014,1607.5,09/03/2008,0
p686,YNPFISHCRK,ID,United States,44.25205,-111.155022,2166,10/13/2011,0
p700,MSH_BUTTEC,WA,United States,46.17813,-122.217349,1522,01/27/2012,1
p706,MATADORRCH,MT,United States,45.04347,-112.524089,1810.7,10/02/2011,0
p707,REDROCKLAK,MT,United States,44.71877,-111.837164,2292.8,10/20/2010,1
p710,GTNPGRASSY,WY,United States,44.095748,-110.732128,2173.1,10/04/2011,1
p717,SHOSHONERV,WY,United States,44.485406,-109.897291,2270.2,10/02/2011,1
p719,ENNISFISH_,MT,United States,45.217757,-111.789024,1706.3,10/02/2011,1
p722,YNPBASSRCH,MT,United States,45.457224,-109.57101,1452.8,04/21/2011,0
p730,BALLARDRDG,CA,United States,41.359193,-120.828235,1823,10/02/2011,1
p738,HARTMTNNWR,OR,United States,42.54669,-119.65839,1724,10/02/2011,0
p739,MCDERMITT_,OR,United States,42.02013,-117.72562,1378,10/02/2011,0
p775,PURDUE_U__,IN,United States,40.47538,-86.992088,182.6,10/02/2011,0
p783,WANSHIP2__,UT,United States,40.80757,-111.41471,1820.5,10/02/2011,1
p802,MandanDDBMND2012,ND,United States,46.557545,-100.623397,573.2,11/02/2012,0
p803,MellenDDBMWI2012,WI,United States,46.326446,-90.683639,415.2,10/23/2012,0
pfr2,Poker Flat,AK,United States,65.117438,-147.433067,512.3,09/09/2012,0
plny,Pliny,MN,United States,46.339547,-93.262088,354.2,10/02/2010,0
prds,Priddis,Alberta,Canada,50.871346,-114.29348,1248.4,09/02/2009,0
prsp,Prosper,MN,United States,43.514958,-91.885239,381,02/02/2011,0
regl,Regal,MN,United States,45.432413,-94.932582,354.2,11/06/2010,0
reso,Resolute,Nunavut,Canada,74.690811,-94.89366,19.9,08/03/2002,0
rn86,WASATCH___,UT,United States,41.864856,-111.502514,2590.7,10/15/2011,1
roth,Rothsay,MN,United States,46.49051,-96.291277,345.2,10/24/2010,0
rshm,Rushmore,MN,United States,43.637377,-95.77013,488.8,01/22/2011,0
sakc,SaukCtr,MN,United States,45.71304,-94.931253,354.2,10/02/2010,0
sc00,SC00_PNGA_,WA,United States,46.950925,-120.724609,1178.4,10/02/2011,0
sg27,SG27_AKDA_,AK,United States,71.322895,-156.610331,9.4,08/02/2002,0
shr1,SEVILLETA_,NM,United States,34.334805,-106.744104,1631.5,10/02/2011,0
spic,SPIC_BRGN_,UT,United States,39.306214,-112.127475,1670.4,10/02/2011,0
sqwl,George,MN,United States,47.603741,-94.126737,382.2,11/05/2010,0
strb,Starbuck,MN,United States,45.48825,-95.56215,363,10/02/2010,0
stvn,StVincent,MN,United States,48.970981,-97.201567,217.1,01/31/2011,0
stwv,Stewartville,MN,United States,43.902521,-92.482211,361.2,10/31/2010,0
vern,Verndale,MN,United States,46.413442,-95.05458,385.9,10/31/2010,0
vis0,Visby,,Sweden,57.65386,18.367312,79.8,09/02/2004,0
wask,Waskish,MN,United States,48.150177,-94.511944,333.2,12/07/2011,0
wlwy,WLWY_EBRY_WY1999,WY,United States,44.639518,-110.286656,2643.2,10/04/2011,1
yfb1,IQALUIT,Nunavut,Canada,63.731,-68.543,10,09/02/2008,0
